ds,y
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,707.27
2017-01-06,988.28
2017-01-07,1447.99
2017-01-08,809.63
2017-01-09,774.51
2017-01-10,1571.17
2017-01-11,2098.78
2017-01-12,1720.3500000000001
2017-01-13,2780.7200000000003
2017-01-14,1507.36
2017-01-15,2551.34
2017-01-16,3668.38
2017-01-17,3893.61
2017-01-18,3811.68
2017-01-19,4140.16
2017-01-20,4656.05
2017-01-21,3094.76
2017-01-22,4141.87
2017-01-23,7355.98
2017-01-24,5954.18
2017-01-25,9309.87
2017-01-26,14824.8
2017-01-27,12575.14
2017-01-28,5736.98
2017-01-29,7160.66
2017-01-30,11290.93
2017-01-31,11937.67
2017-02-01,8846.34
2017-02-02,10483.77
2017-02-03,10797.07
2017-02-04,15687.35
2017-02-05,10035.21
2017-02-06,10955.35
2017-02-07,16020.23
2017-02-08,13874.75
2017-02-09,10652.98
2017-02-10,14802.68
2017-02-11,5233.15
2017-02-12,16389.82
2017-02-13,12174.71
2017-02-14,13151.26
2017-02-15,7817.59
2017-02-16,6842.42
2017-02-17,8059.2
2017-02-18,8456.59
2017-02-19,4195.81
2017-02-20,9023.33
2017-02-21,9006.16
2017-02-22,8143.76
2017-02-23,7792.79
2017-02-24,7855.98
2017-02-25,4347.75
2017-02-26,6251.14
2017-02-27,6727.34
2017-02-28,11999.21
2017-03-01,14292.91
2017-03-02,12575.46
2017-03-03,13919.14
2017-03-04,10518.02
2017-03-05,8182.29
2017-03-06,10983.08
2017-03-07,13275.21
2017-03-08,14980.39
2017-03-09,13441.65
2017-03-10,14107.78
2017-03-11,12473.31
2017-03-12,7711.89
2017-03-13,18732.91
2017-03-14,16261.88
2017-03-15,16928.73
2017-03-16,16492.77
2017-03-17,13611.279999999999
2017-03-18,17943.07
2017-03-19,7728.08
2017-03-20,19381.57
2017-03-21,13166.64
2017-03-22,16390.14
2017-03-23,18707.84
2017-03-24,11620.23
2017-03-25,10951.62
2017-03-26,7356.91
2017-03-27,18583.57
2017-03-28,13969.380000000001
2017-03-29,9805.42
2017-03-30,11172.34
2017-03-31,13712.76
2017-04-01,19053.91
2017-04-02,10608.62
2017-04-03,10653.630000000001
2017-04-04,14152.99
2017-04-05,20080.09
2017-04-06,20992.99
2017-04-07,14649.86
2017-04-08,9988.15
2017-04-09,9247.03
2017-04-10,13321.95
2017-04-11,8482.72
2017-04-12,9220.27
2017-04-13,11216.11
2017-04-14,8326.42
2017-04-15,9324.47
2017-04-16,6532.21
2017-04-17,9277.43
2017-04-18,23433.86
2017-04-19,13941.25
2017-04-20,15439.44
2017-04-21,10141.81
2017-04-22,14889.7
2017-04-23,11506.539999999999
2017-04-24,15521.48
2017-04-25,16967.079999999998
2017-04-26,18118.2
2017-04-27,11611.75
2017-04-28,17975.47
2017-04-29,13633.57
2017-04-30,9289.56
2017-05-01,14043.11
2017-05-02,20308.14
2017-05-03,12155.48
2017-05-04,15778.17
2017-05-05,16114.52
2017-05-06,18466.31
2017-05-07,18940.22
2017-05-08,18889.49
2017-05-09,23556.19
2017-05-10,22926.48
2017-05-11,21172.03
2017-05-12,14474.45
2017-05-13,10429.33
2017-05-14,17209.0
2017-05-15,21195.98
2017-05-16,24213.16
2017-05-17,21217.81
2017-05-18,20861.79
2017-05-19,20995.07
2017-05-20,12310.07
2017-05-21,20287.64
2017-05-22,27377.73
2017-05-23,20019.6
2017-05-24,26624.39
2017-05-25,17431.59
2017-05-26,12246.38
2017-05-27,15589.44
2017-05-28,11120.71
2017-05-29,21774.91
2017-05-30,15763.66
2017-05-31,22613.57
2017-06-01,21749.38
2017-06-02,21060.93
2017-06-03,12232.84
2017-06-04,15898.48
2017-06-05,26221.82
2017-06-06,16340.16
2017-06-07,15397.67
2017-06-08,22053.23
2017-06-09,18594.34
2017-06-10,9603.6
2017-06-11,16461.5
2017-06-12,17240.25
2017-06-13,16387.27
2017-06-14,23407.11
2017-06-15,14820.47
2017-06-16,14673.210000000001
2017-06-17,12474.050000000001
2017-06-18,17584.14
2017-06-19,25849.71
2017-06-20,14069.74
2017-06-21,7275.1
2017-06-22,10394.48
2017-06-23,15422.94
2017-06-24,10013.7
2017-06-25,20360.65
2017-06-26,14871.13
2017-06-27,19609.72
2017-06-28,16973.66
2017-06-29,14276.78
2017-06-30,14750.449999999999
2017-07-01,14139.0
2017-07-02,13677.46
2017-07-03,19203.9
2017-07-04,17940.64
2017-07-05,23844.87
2017-07-06,24860.9
2017-07-07,15764.14
2017-07-08,11897.07
2017-07-09,9915.73
2017-07-10,20397.34
2017-07-11,23591.05
2017-07-12,22288.2
2017-07-13,17902.73
2017-07-14,21665.78
2017-07-15,13128.05
2017-07-16,15540.84
2017-07-17,25364.56
2017-07-18,32202.43
2017-07-19,19418.06
2017-07-20,21187.91
2017-07-21,14917.53
2017-07-22,13279.2
2017-07-23,14005.72
