antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'music'}),frozenset({'fashion_bags_accessories'}),0.0010438413361169101,0.05219206680584551,0.0010438413361169101,1.0,19.16,1.0,0.0009893610993675934,inf,0.948798328108673,0.019999999999999997,1.0,0.51
frozenset({'furniture_bedroom'}),frozenset({'auto'}),0.0026096033402922755,0.037056367432150315,0.0010438413361169101,0.39999999999999997,10.794366197183097,1.0,0.0009471389158868728,1.604906054279749,0.9097331240188383,0.02702702702702702,0.37691056910569104,0.2140845070422535
frozenset({'audio'}),frozenset({'watches_gifts'}),0.0020876826722338203,0.055845511482254695,0.0010438413361169101,0.5,8.953271028037383,1.0,0.0009272536294733721,1.8883089770354906,0.8901673640167364,0.01834862385321101,0.47042564953012717,0.25934579439252337
frozenset({'air_conditioning'}),frozenset({'home_appliances'}),0.007306889352818371,0.016179540709812108,0.0010438413361169101,0.14285714285714285,8.829493087557603,1.0,0.0009256192223708927,1.1477905358385525,0.8932702418506836,0.04651162790697674,0.12876089427813564,0.10368663594470046
frozenset({'food'}),frozenset({'perfumery'}),0.006784968684759917,0.04540709812108559,0.0020876826722338203,0.30769230769230765,6.7763041556145,1.0,0.0017795969334164336,1.3788564138250987,0.8582501313715186,0.041666666666666664,0.27476132396854097,0.17683465959328026
frozenset({'fixed_telephony'}),frozenset({'computers_accessories'}),0.0036534446764091857,0.07776617954070981,0.0015657620041753654,0.4285714285714286,5.511025886864814,1.0,0.0012816475695276782,1.6139091858037578,0.821547057796403,0.0196078431372549,0.3803864499959577,0.22435282837967402
frozenset({'tablets_printing_image'}),frozenset({'health_beauty'}),0.0020876826722338203,0.10908141962421712,0.0010438413361169101,0.5,4.583732057416268,1.0,0.0008161139465047659,1.7818371607515657,0.7834728033472803,0.00947867298578199,0.43878148799062683,0.25478468899521534
frozenset({'market_place'}),frozenset({'sports_leisure'}),0.0026096033402922755,0.13569937369519833,0.0015657620041753654,0.6,4.421538461538462,1.0,0.0012116404653048061,2.160751565762004,0.7758590615733474,0.011450381679389311,0.5371980676328502,0.30576923076923074
"frozenset({'furniture_decor', 'unknown_category'})",frozenset({'bed_bath_table'}),0.0015657620041753654,0.17536534446764093,0.0010438413361169101,0.6666666666666666,3.801587301587301,1.0,0.0007692609429003534,2.473903966597077,0.7381076842655515,0.005934718100890207,0.5957805907172995,0.3363095238095238
frozenset({'construction_tools_lights'}),frozenset({'furniture_decor'}),0.003131524008350731,0.13569937369519833,0.0015657620041753654,0.5,3.684615384615385,1.0,0.0011408161575306942,1.7286012526096033,0.7308900523560209,0.011406844106463877,0.4214975845410628,0.25576923076923075
