ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano_Novo,Ano_Novo_lower,Ano_Novo_upper,Black_Friday,Black_Friday_lower,Black_Friday_upper,Carnaval,Carnaval_lower,Carnaval_upper,Criancas,Criancas_lower,Criancas_upper,Cyber_Monday,Cyber_Monday_lower,Cyber_Monday_upper,Dia_dos_Pais,Dia_dos_Pais_lower,Dia_dos_Pais_upper,Independencia,Independencia_lower,Independencia_upper,Labour_Day,Labour_Day_lower,Labour_Day_upper,Namorados,Namorados_lower,Namorados_upper,Natal,Natal_lower,Natal_upper,Pascoa,Pascoa_lower,Pascoa_upper,Tiradentes,Tiradentes_lower,Tiradentes_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-01-01,840.5869934940798,-21900.291246265642,-8164.501290538727,840.5869934940798,840.5869934940798,-6894.5499187980795,-6894.5499187980795,-6894.5499187980795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15646.883411462122,-15646.883411462122,-15646.883411462122,-6894.5499187980795,-6894.5499187980795,-6894.5499187980795,1094.2714922881707,1094.2714922881707,1094.2714922881707,-4335.859526208424,-4335.859526208424,-4335.859526208424,-5510.7454587437915,-5510.7454587437915,-5510.7454587437915,0.0,0.0,0.0,-14806.296417968042
2017-01-02,957.1562820721688,-6316.977541012861,6572.173588812193,957.1562820721688,957.1562820721688,-1592.562361878656,-1592.562361878656,-1592.562361878656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-669.9207060493752,-669.9207060493752,-669.9207060493752,-1592.562361878656,-1592.562361878656,-1592.562361878656,1361.3279878895598,1361.3279878895598,1361.3279878895598,4203.53998451388,4203.53998451388,4203.53998451388,-4642.226316574159,-4642.226316574159,-4642.226316574159,0.0,0.0,0.0,287.23557602279357
2017-01-03,1073.7255706502576,-4511.08427975509,8899.331740357462,1073.7255706502576,1073.7255706502576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187.0571601326335,1187.0571601326335,1187.0571601326335,0.0,0.0,0.0,1577.6733750092164,1577.6733750092164,1577.6733750092164,3347.897897521556,3347.897897521556,3347.897897521556,-3738.514112398139,-3738.514112398139,-3738.514112398139,0.0,0.0,0.0,2260.782730782891
2017-01-04,1190.2948592283465,-3943.287473731885,8802.312333079693,1190.2948592283465,1190.2948592283465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.0917707939216,1122.0917707939216,1122.0917707939216,0.0,0.0,0.0,1461.284965942874,1461.284965942874,1461.284965942874,2476.4677993013875,2476.4677993013875,2476.4677993013875,-2815.66099445034,-2815.66099445034,-2815.66099445034,0.0,0.0,0.0,2312.386630022268
2017-01-05,1306.8641478064353,-4501.060808543139,8372.227404521049,1306.8641478064353,1306.8641478064353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.4197125742977,311.4197125742977,311.4197125742977,0.0,0.0,0.0,980.8996075558524,980.8996075558524,980.8996075558524,1219.9357873478384,1219.9357873478384,1219.9357873478384,-1889.4156823293927,-1889.4156823293927,-1889.4156823293927,0.0,0.0,0.0,1618.2838603807331
2017-01-06,1423.4334363845244,-6737.328716305178,6604.304786805275,1423.4334363845244,1423.4334363845244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1530.034080913928,-1530.034080913928,-1530.034080913928,0.0,0.0,0.0,410.5828798355706,410.5828798355706,410.5828798355706,-965.6856366720502,-965.6856366720502,-965.6856366720502,-974.9313240774485,-974.9313240774485,-974.9313240774485,0.0,0.0,0.0,-106.60064452940355
2017-01-07,1540.002724962613,-11138.02368042058,2363.5628937714882,1540.002724962613,1540.002724962613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5953.284488779026,-5953.284488779026,-5953.284488779026,0.0,0.0,0.0,79.50456088520266,79.50456088520266,79.50456088520266,-5946.296305797819,-5946.296305797819,-5946.296305797819,-86.49274386641194,-86.49274386641194,-86.49274386641194,0.0,0.0,0.0,-4413.281763816413
2017-01-08,1656.572013540702,-8292.721320789053,4779.944064511905,1656.572013540702,1656.572013540702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3493.756135920271,-3493.756135920271,-3493.756135920271,0.0,0.0,0.0,79.3717143544207,79.3717143544207,79.3717143544207,-4335.85952620444,-4335.85952620444,-4335.85952620444,762.7316759297479,762.7316759297479,762.7316759297479,0.0,0.0,0.0,-1837.1841223795689
2017-01-09,1773.141302118791,1506.928652000759,14773.359629474327,1773.141302118791,1773.141302118791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5991.618531781066,5991.618531781066,5991.618531781066,0.0,0.0,0.0,227.16970438897528,227.16970438897528,227.16970438897528,4203.539984515746,4203.539984515746,4203.539984515746,1560.9088428763444,1560.9088428763444,1560.9088428763444,0.0,0.0,0.0,7764.759833899857
2017-01-10,1889.7105906968795,1122.7189897650965,14726.740670699144,1889.7105906968795,1889.7105906968795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5956.1239998332,5956.1239998332,5956.1239998332,0.0,0.0,0.0,310.499504161894,310.499504161894,310.499504161894,3347.897897525388,3347.897897525388,3347.897897525388,2297.7265981459177,2297.7265981459177,2297.7265981459177,0.0,0.0,0.0,7845.834590530079
2017-01-11,2006.2798792749686,1518.2532233945333,14251.669754994602,2006.2798792749686,2006.2798792749686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5785.73480275412,5785.73480275412,5785.73480275412,0.0,0.0,0.0,344.72400559635594,344.72400559635594,344.72400559635594,2476.467799298942,2476.467799298942,2476.467799298942,2964.5429978588245,2964.5429978588245,2964.5429978588245,0.0,0.0,0.0,7792.014682029088
2017-01-12,2122.8491678530577,1121.0236892452465,14579.441806942523,2122.8491678530577,2122.8491678530577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5327.5145630130255,5327.5145630130255,5327.5145630130255,0.0,0.0,0.0,553.0818662082548,553.0818662082548,553.0818662082548,1219.935787349295,1219.935787349295,1219.935787349295,3554.4969094554767,3554.4969094554767,3554.4969094554767,0.0,0.0,0.0,7450.363730866084
2017-01-13,2239.4184564311463,-435.69020819993017,12656.068449330789,2239.4184564311463,2239.4184564311463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.109719941892,4166.109719941892,4166.109719941892,0.0,0.0,0.0,1069.2168818321288,1069.2168818321288,1069.2168818321288,-965.685636677509,-965.685636677509,-965.685636677509,4062.5784747872726,4062.5784747872726,4062.5784747872726,0.0,0.0,0.0,6405.528176373038
2017-01-14,2355.9877450092354,-3247.638757084118,9334.882104599224,2355.9877450092354,2355.9877450092354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.95327737968964,207.95327737968964,207.95327737968964,0.0,0.0,0.0,1668.590697584568,1668.590697584568,1668.590697584568,-5946.296305804409,-5946.296305804409,-5946.296305804409,4485.65888559953,4485.65888559953,4485.65888559953,0.0,0.0,0.0,2563.941022388925
2017-01-15,2472.5570335873244,-2373.738909464531,11043.47896774838,2472.5570335873244,2472.5570335873244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2328.7926042411004,2328.7926042411004,2328.7926042411004,0.0,0.0,0.0,1842.1723199206942,1842.1723199206942,1842.1723199206942,-4335.859526195764,-4335.859526195764,-4335.859526195764,4822.479810516171,4822.479810516171,4822.479810516171,0.0,0.0,0.0,4801.349637828425
2017-01-16,2589.126322165413,6005.73493685843,19201.965604270954,2589.126322165413,2589.126322165413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10481.49921078274,10481.49921078274,10481.49921078274,0.0,0.0,0.0,1204.3555406328403,1204.3555406328403,1204.3555406328403,4203.539984509848,4203.539984509848,4203.539984509848,5073.6036856400515,5073.6036856400515,5073.6036856400515,0.0,0.0,0.0,13070.625532948154
2017-01-17,2705.6956107435017,4588.5107157155935,17369.169120005525,2705.6956107435017,2705.6956107435017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8469.718339307887,8469.718339307887,8469.718339307887,0.0,0.0,0.0,-119.50647245534061,-119.50647245534061,-119.50647245534061,3347.8978975231676,3347.8978975231676,3347.8978975231676,5241.326914240061,5241.326914240061,5241.326914240061,0.0,0.0,0.0,11175.413950051388
2017-01-18,2822.2648993215903,1978.3836193771633,15438.43008702751,2822.2648993215903,2822.2648993215903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6300.397214824721,6300.397214824721,6300.397214824721,0.0,0.0,0.0,-1505.629380924329,-1505.629380924329,-1505.629380924329,2476.467799300569,2476.467799300569,2476.467799300569,5329.558796448479,5329.558796448479,5329.558796448479,0.0,0.0,0.0,9122.662114146311
2017-01-19,2938.83418789968,651.5254641570943,13951.858301848151,2938.83418789968,2938.83418789968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4284.1730056911765,4284.1730056911765,4284.1730056911765,0.0,0.0,0.0,-2279.432492278424,-2279.432492278424,-2279.432492278424,1219.935787350361,1219.935787350361,1219.935787350361,5343.669710619239,5343.669710619239,5343.669710619239,0.0,0.0,0.0,7223.007193590856
2017-01-20,3055.4034819296885,-1278.341942390551,11446.390074589224,3055.4034819296885,3055.4034819296885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2094.8070214372883,2094.8070214372883,2094.8070214372883,0.0,0.0,0.0,-2229.8200209113384,-2229.8200209113384,-2229.8200209113384,-965.6856366766252,-965.6856366766252,-965.6856366766252,5290.312679025252,5290.312679025252,5290.312679025252,0.0,0.0,0.0,5150.210503366977
2017-01-21,3171.9727759596976,-5913.900176137575,6742.55660454882,3171.9727759596976,3171.9727759596976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2510.507180232338,-2510.507180232338,-2510.507180232338,0.0,0.0,0.0,-1741.4338336537103,-1741.4338336537103,-1741.4338336537103,-5946.296305793627,-5946.296305793627,-5946.296305793627,5177.222959214998,5177.222959214998,5177.222959214998,0.0,0.0,0.0,661.4655957273594
2017-01-22,3288.5420699897068,-3975.021304239836,9376.344288912045,3288.5420699897068,3288.5420699897068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-750.1855808846709,-750.1855808846709,-750.1855808846709,0.0,0.0,0.0,-1427.3267526842096,-1427.3267526842096,-1427.3267526842096,-4335.859526228985,-4335.859526228985,-4335.859526228985,5013.000698028523,5013.000698028523,5013.000698028523,0.0,0.0,0.0,2538.356489105036
