ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano_Novo,Ano_Novo_lower,Ano_Novo_upper,Black_Friday,Black_Friday_lower,Black_Friday_upper,Carnaval,Carnaval_lower,Carnaval_upper,Criancas,Criancas_lower,Criancas_upper,Cyber_Monday,Cyber_Monday_lower,Cyber_Monday_upper,Dia_dos_Pais,Dia_dos_Pais_lower,Dia_dos_Pais_upper,Independencia,Independencia_lower,Independencia_upper,Labour_Day,Labour_Day_lower,Labour_Day_upper,Namorados,Namorados_lower,Namorados_upper,Natal,Natal_lower,Natal_upper,Pascoa,Pascoa_lower,Pascoa_upper,Tiradentes,Tiradentes_lower,Tiradentes_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-09-01,39874.637465315805,28441.299363421836,41558.375886028174,39769.60613734983,39971.21808005363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4812.9672611961905,-4812.9672611961905,-4812.9672611961905,0.0,0.0,0.0,973.7220397020504,973.7220397020504,973.7220397020504,-5946.296305795467,-5946.296305795467,-5946.296305795467,159.60700489722495,159.60700489722495,159.60700489722495,0.0,0.0,0.0,35061.67020411961
2018-09-02,39910.713914012995,29698.93883477298,42980.05669808664,39797.664747475326,40011.854336042954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2871.3047425708073,-2871.3047425708073,-2871.3047425708073,0.0,0.0,0.0,996.5691629587664,996.5691629587664,996.5691629587664,-4335.859526213159,-4335.859526213159,-4335.859526213159,467.9856206835856,467.9856206835856,467.9856206835856,0.0,0.0,0.0,37039.40917144219
2018-09-03,39946.79036271018,39424.685109954364,52344.6841258059,39825.90007634559,40052.96752299996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6017.312976206919,6017.312976206919,6017.312976206919,0.0,0.0,0.0,1094.2714922879086,1094.2714922879086,1094.2714922879086,4203.539984509324,4203.539984509324,4203.539984509324,719.5014994096878,719.5014994096878,719.5014994096878,0.0,0.0,0.0,45964.1033389171
2018-09-04,39982.86681140735,39377.28395166005,52438.802246465275,39857.784140680036,40094.20730434518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5617.881134502721,5617.881134502721,5617.881134502721,0.0,0.0,0.0,1361.3279878888338,1361.3279878888338,1361.3279878888338,3347.8978975245045,3347.8978975245045,3347.8978975245045,908.6552490893811,908.6552490893811,908.6552490893811,0.0,0.0,0.0,45600.74794591007
2018-09-05,40018.94326010454,38533.9794491278,51516.95883841731,39889.533671455036,40136.59677837644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5085.58935184454,5085.58935184454,5085.58935184454,0.0,0.0,0.0,1577.6733750083945,1577.6733750083945,1577.6733750083945,2476.467799299758,2476.467799299758,2476.467799299758,1031.448177536387,1031.448177536387,1031.448177536387,0.0,0.0,0.0,45104.53261194908
2018-09-06,40055.01970880172,37438.18805734411,50109.83162902523,39921.46991967861,40181.09935606592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3766.696599927953,3766.696599927953,3766.696599927953,0.0,0.0,0.0,1461.2849659427768,1461.2849659427768,1461.2849659427768,1219.9357873465704,1219.9357873465704,1219.9357873465704,1085.4758466386056,1085.4758466386056,1085.4758466386056,0.0,0.0,0.0,43821.71630872968
2018-09-07,40091.09615749891,26223.207506845338,40212.64114330579,39952.7760753168,40222.27755085587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8035.19299968224,-8035.19299968224,-8035.19299968224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6949.996095313721,-6949.996095313721,-6949.996095313721,-8035.19299968224,-8035.19299968224,-8035.19299968224,980.8996075556392,980.8996075556392,980.8996075556392,-965.6856366663209,-965.6856366663209,-965.6856366663209,1069.9829334792007,1069.9829334792007,1069.9829334792007,0.0,0.0,0.0,33141.10006218519
2018-09-08,40127.17260619609,28883.85879619644,41932.92972488826,39981.698570719,40265.19901607723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4549.83533017949,-4549.83533017949,-4549.83533017949,0.0,0.0,0.0,410.58287983395127,410.58287983395127,410.58287983395127,-5946.296305796929,-5946.296305796929,-5946.296305796929,985.878095783489,985.878095783489,985.878095783489,0.0,0.0,0.0,35577.337276016595
2018-09-09,40163.24905489328,30606.390890742907,42833.73126707147,40013.43380965172,40305.48319941317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3420.6464669390252,-3420.6464669390252,-3420.6464669390252,0.0,0.0,0.0,79.504560884793,79.504560884793,79.504560884793,-4335.859526209174,-4335.859526209174,-4335.859526209174,835.7084983853564,835.7084983853564,835.7084983853564,0.0,0.0,0.0,36742.60258795425
2018-09-10,40199.325503590466,38361.94323359294,51613.642757847076,40044.11605727703,40347.465351394356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4906.5063232816165,4906.5063232816165,4906.5063232816165,0.0,0.0,0.0,79.37171435346768,79.37171435346768,79.37171435346768,4203.539984511191,4203.539984511191,4203.539984511191,623.594624416958,623.594624416958,623.594624416958,0.0,0.0,0.0,45105.83182687208
